wireframe,total_gt,total_gen,matched,precision,recall,f1,jaccard
test-desktop-1-btpns-cms-mapping-wisma,56,56,55,0.9821,0.9821,0.9821,0.9649
test-desktop-1-hand-agus-btpns-cms-mapping-wisma,56,56,55,0.9821,0.9821,0.9821,0.9649
test-desktop-1-hand-dimas-btpns-cms-mapping-wisma,47,47,45,0.9574,0.9574,0.9574,0.9184
test-desktop-1-hand-fadli-btpns-cms-mapping,47,47,45,0.9574,0.9574,0.9574,0.9184
test-desktop-1-hand-pazrin-btpns-cms-mapping-wisma,51,51,45,0.8824,0.8824,0.8824,0.7895
test-desktop-1-hand-tia-btpns-cms-mapping-wisma,56,56,53,0.9464,0.9464,0.9464,0.8983
test-desktop-10-browse-product,58,69,32,0.4638,0.5517,0.5039,0.3368
test-desktop-10-hand-agus-browse-product,58,106,28,0.2642,0.4828,0.3415,0.2059
test-desktop-10-hand-dimas-browse-product,58,107,29,0.2710,0.5000,0.3515,0.2132
test-desktop-10-hand-fadli-browse-product,58,112,28,0.2500,0.4828,0.3294,0.1972
test-desktop-10-hand-pazrin-browse-product,58,111,28,0.2523,0.4828,0.3314,0.1986
test-desktop-10-hand-tia-browse-product,58,111,28,0.2523,0.4828,0.3314,0.1986
test-desktop-2-btpns-update-mapping-wisma,95,95,95,1.0000,1.0000,1.0000,1.0000
test-desktop-2-hand-agus-btpns-update-mapping-wisma,95,95,94,0.9895,0.9895,0.9895,0.9792
test-desktop-2-hand-dimas-btpns-update-mapping-wisma,95,100,86,0.8600,0.9053,0.8821,0.7890
test-desktop-2-hand-fadli-btpns-update-mapping-wisma,95,95,86,0.9053,0.9053,0.9053,0.8269
test-desktop-2-hand-pazrin-btpns-update-mapping-wisma,95,95,84,0.8842,0.8842,0.8842,0.7925
test-desktop-2-hand-tia-btpns-update-mapping-wisma,95,95,79,0.8316,0.8316,0.8316,0.7117
test-desktop-3-btpns-update-mapping-wisma-modification,45,88,13,0.1477,0.2889,0.1955,0.1083
test-desktop-3-hand-agus-btpns-update-mapping-wisma-modification,44,83,13,0.1566,0.2955,0.2047,0.1140
test-desktop-3-hand-dimas-btpns-update-mapping-wisma-modification,45,62,14,0.2258,0.3111,0.2617,0.1505
test-desktop-3-hand-fadli-btpns-update-mapping-wisma-modification,45,88,14,0.1591,0.3111,0.2105,0.1176
test-desktop-3-hand-pazrin-btpns-update-mapping-wisma-modification,45,88,13,0.1477,0.2889,0.1955,0.1083
test-desktop-3-hand-tia-btpns-update-mapping-wisma-modification,45,76,13,0.1711,0.2889,0.2149,0.1204
test-desktop-4-dss-run-ahp,49,49,47,0.9592,0.9592,0.9592,0.9216
test-desktop-4-hand-agus-dss-run-ahp,49,49,49,1.0000,1.0000,1.0000,1.0000
test-desktop-4-hand-dimas-dss-run-ahp,49,49,44,0.8980,0.8980,0.8980,0.8148
test-desktop-4-hand-fadli-dss-run-ahp,54,54,49,0.9074,0.9074,0.9074,0.8305
test-desktop-4-hand-pazrin-dss-run-ahp,49,49,47,0.9592,0.9592,0.9592,0.9216
test-desktop-4-hand-tia-dss-run-ahp,54,54,53,0.9815,0.9815,0.9815,0.9636
test-desktop-5-dss-setup,103,103,103,1.0000,1.0000,1.0000,1.0000
test-desktop-5-hand-agus-dss-setup,103,103,102,0.9903,0.9903,0.9903,0.9808
test-desktop-5-hand-dimas-dss-setup,98,98,90,0.9184,0.9184,0.9184,0.8491
test-desktop-5-hand-fadli-dss-setup,103,103,96,0.9320,0.9320,0.9320,0.8727
test-desktop-5-hand-pazrin-dss-setup,103,94,51,0.5426,0.4951,0.5178,0.3493
test-desktop-5-hand-tia-dss-setup,98,98,96,0.9796,0.9796,0.9796,0.9600
test-desktop-6-hand-agus-hosting-personal-information,74,60,42,0.7000,0.5676,0.6269,0.4565
test-desktop-6-hand-dimas-hosting-personal-information,72,73,66,0.9041,0.9167,0.9103,0.8354
test-desktop-6-hand-fadli-hosting-personal-information,74,74,70,0.9459,0.9459,0.9459,0.8974
test-desktop-6-hand-pazrin-hosting-personal-information,74,73,61,0.8356,0.8243,0.8299,0.7093
test-desktop-6-hand-tia-hosting-personal-information,74,74,71,0.9595,0.9595,0.9595,0.9221
test-desktop-6-hosting-personal-information,74,74,74,1.0000,1.0000,1.0000,1.0000
test-desktop-7-hand-agus-hosting-personal-information-modification,146,119,77,0.6471,0.5274,0.5811,0.4096
test-desktop-7-hand-dimas-hosting-personal-information-modification,114,114,107,0.9386,0.9386,0.9386,0.8843
test-desktop-7-hand-fadli-hosting-personal-information-modification,110,110,106,0.9636,0.9636,0.9636,0.9298
test-desktop-7-hand-pazrin-hosting-personal-information-modification,127,114,44,0.3860,0.3465,0.3651,0.2234
test-desktop-7-hand-tia-hosting-personal-information-modification,140,140,138,0.9857,0.9857,0.9857,0.9718
test-desktop-7-hosting-personal-information-modification,146,146,146,1.0000,1.0000,1.0000,1.0000
test-desktop-8-hand-agus-preferences,123,123,122,0.9919,0.9919,0.9919,0.9839
test-desktop-8-hand-dimas-preferences,123,123,106,0.8618,0.8618,0.8618,0.7571
test-desktop-8-hand-fadli-preferences,123,123,117,0.9512,0.9512,0.9512,0.9070
test-desktop-8-hand-pazrin-preferences,123,123,121,0.9837,0.9837,0.9837,0.9680
test-desktop-8-hand-tia-preferences,123,123,119,0.9675,0.9675,0.9675,0.9370
test-desktop-8-preferences,55,55,55,1.0000,1.0000,1.0000,1.0000
test-desktop-9-hand-agus-simple-dashboard,52,48,37,0.7708,0.7115,0.7400,0.5873
test-desktop-9-hand-dimas-simple-dashboard,48,49,39,0.7959,0.8125,0.8041,0.6724
test-desktop-9-hand-fadli-simple-dashboard,52,52,44,0.8462,0.8462,0.8462,0.7333
test-desktop-9-hand-pazrin-simple-dashboard,48,52,37,0.7115,0.7708,0.7400,0.5873
test-desktop-9-hand-tia-simple-dashboard,52,48,35,0.7292,0.6731,0.7000,0.5385
test-desktop-9-simple-dashboard,52,52,51,0.9808,0.9808,0.9808,0.9623
test-mobile-1-hand-agus-splash-screen,13,13,13,1.0000,1.0000,1.0000,1.0000
test-mobile-1-hand-dimas-splash-screen,13,13,12,0.9231,0.9231,0.9231,0.8571
test-mobile-1-hand-fadli-splash-screen,13,13,12,0.9231,0.9231,0.9231,0.8571
test-mobile-1-hand-pazrin-splash-screen,13,13,13,1.0000,1.0000,1.0000,1.0000
test-mobile-1-hand-tia-splash-screen,13,13,13,1.0000,1.0000,1.0000,1.0000
test-mobile-1-splash-screen,13,13,13,1.0000,1.0000,1.0000,1.0000
test-mobile-10-hand-agus-simple-profile,14,14,14,1.0000,1.0000,1.0000,1.0000
test-mobile-10-hand-dimas-simple-profile,14,14,14,1.0000,1.0000,1.0000,1.0000
test-mobile-10-hand-fadli-simple-profile,14,14,13,0.9286,0.9286,0.9286,0.8667
test-mobile-10-hand-pazrin-simple-profile,14,14,14,1.0000,1.0000,1.0000,1.0000
test-mobile-10-hand-tia-simple-profile,14,14,12,0.8571,0.8571,0.8571,0.7500
test-mobile-10-simple-profile,14,14,14,1.0000,1.0000,1.0000,1.0000
test-mobile-11-hand-agus-simple-browse,19,19,18,0.9474,0.9474,0.9474,0.9000
test-mobile-11-hand-dimas-simple-browse,19,19,18,0.9474,0.9474,0.9474,0.9000
test-mobile-11-hand-fadli-simple-browse,19,19,19,1.0000,1.0000,1.0000,1.0000
test-mobile-11-hand-pazrin-simple-browse,19,19,19,1.0000,1.0000,1.0000,1.0000
test-mobile-11-hand-tia-simple-browse,19,19,16,0.8421,0.8421,0.8421,0.7273
test-mobile-11-simple-browse,19,19,18,0.9474,0.9474,0.9474,0.9000
test-mobile-12-btpns-koreksi-transaksi,25,25,24,0.9600,0.9600,0.9600,0.9231
test-mobile-12-hand-agus-btpns-koreksi-transaksi,25,25,25,1.0000,1.0000,1.0000,1.0000
test-mobile-12-hand-dimas-btpns-koreksi-transaksi,25,25,24,0.9600,0.9600,0.9600,0.9231
test-mobile-12-hand-fadli-btpns-koreksi-transaksi,25,25,25,1.0000,1.0000,1.0000,1.0000
test-mobile-12-hand-pazrin-btpns-koreksi-transaksi,25,25,25,1.0000,1.0000,1.0000,1.0000
test-mobile-12-hand-tia-btpns-koreksi-transaksi,25,25,23,0.9200,0.9200,0.9200,0.8519
test-mobile-13-hand-agus-sign-in-with-image,43,43,43,1.0000,1.0000,1.0000,1.0000
test-mobile-13-hand-dimas-sign-in-with-image,43,43,43,1.0000,1.0000,1.0000,1.0000
test-mobile-13-hand-fadli-sign-in-with-image,43,43,41,0.9535,0.9535,0.9535,0.9111
test-mobile-13-hand-pazrin-sign-in-with-image,43,43,38,0.8837,0.8837,0.8837,0.7917
test-mobile-13-hand-tia-sign-in-with-image,43,43,31,0.7209,0.7209,0.7209,0.5636
test-mobile-13-sign-in-with-image,43,43,42,0.9767,0.9767,0.9767,0.9545
test-mobile-14-hand-agus-simple-dashboard,60,68,55,0.8088,0.9167,0.8594,0.7534
test-mobile-14-hand-dimas-simple-dashboard,72,72,63,0.8750,0.8750,0.8750,0.7778
test-mobile-14-hand-fadli-simple-dashboard,72,72,65,0.9028,0.9028,0.9028,0.8228
test-mobile-14-hand-pazrin-simple-dashboard,72,67,60,0.8955,0.8333,0.8633,0.7595
test-mobile-14-hand-tia-simple-dashboard,72,72,69,0.9583,0.9583,0.9583,0.9200
test-mobile-14-simple-dashboard,72,72,68,0.9444,0.9444,0.9444,0.8947
test-mobile-15-browse-products,136,136,135,0.9926,0.9926,0.9926,0.9854
test-mobile-15-hand-agus-browse-products,131,118,66,0.5593,0.5038,0.5301,0.3607
test-mobile-15-hand-dimas-browse-products,131,119,101,0.8487,0.7710,0.8080,0.6779
test-mobile-15-hand-fadli-browse-products,136,134,93,0.6940,0.6838,0.6889,0.5254
test-mobile-15-hand-pazrin-browse-products,136,128,111,0.8672,0.8162,0.8409,0.7255
test-mobile-15-hand-tia-browse-products,136,136,112,0.8235,0.8235,0.8235,0.7000
test-mobile-2-browse-1,43,43,42,0.9767,0.9767,0.9767,0.9545
test-mobile-2-hand-agus-browse-1,43,33,25,0.7576,0.5814,0.6579,0.4902
test-mobile-2-hand-dimas-browse-1,43,38,34,0.8947,0.7907,0.8395,0.7234
test-mobile-2-hand-fadli-browse-1,43,43,43,1.0000,1.0000,1.0000,1.0000
test-mobile-2-hand-pazrin-browse-1,43,43,40,0.9302,0.9302,0.9302,0.8696
test-mobile-2-hand-tia-browse-1,43,43,40,0.9302,0.9302,0.9302,0.8696
test-mobile-3-hand-agus-sign-in,42,42,41,0.9762,0.9762,0.9762,0.9535
test-mobile-3-hand-dimas-sign-in,42,42,42,1.0000,1.0000,1.0000,1.0000
test-mobile-3-hand-fadli-sign-in,42,42,41,0.9762,0.9762,0.9762,0.9535
test-mobile-3-hand-pazrin-sign-in,42,42,40,0.9524,0.9524,0.9524,0.9091
test-mobile-3-hand-tia-sign-in,42,42,39,0.9286,0.9286,0.9286,0.8667
test-mobile-3-sign-in,42,42,41,0.9762,0.9762,0.9762,0.9535
