wireframe,row_count_f1,cards_per_row_f1,span_offset_f1,grid_shape_f1,objects_f1,row_count_jac,cards_per_row_jac,span_offset_jac,grid_shape_jac,objects_jac,eq_score,ewm_score,ted_distance,ted_size_gt,ted_size_gen,ted_normalized,ted_similarity,ewm_weight_row_count_f1,ewm_weight_cards_per_row_f1,ewm_weight_span_offset_f1,ewm_weight_grid_shape_f1,ewm_weight_objects_f1
test-desktop-1-btpns-cms-mapping-wisma,1.0000,1.0000,1.0000,1.0000,0.9000,1.0000,1.0000,1.0000,1.0000,0.8182,0.98,0.9823,1.0,46,46,0.0217,0.9783,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-1-hand-agus-btpns-cms-mapping-wisma,1.0000,1.0000,1.0000,1.0000,0.9000,1.0000,1.0000,1.0000,1.0000,0.8182,0.98,0.9823,1.0,46,46,0.0217,0.9783,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-1-hand-dimas-btpns-cms-mapping-wisma,1.0000,1.0000,1.0000,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,0.6667,0.96,0.9645,2.0,39,39,0.0513,0.9487,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-1-hand-fadli-btpns-cms-mapping,1.0000,1.0000,0.8750,1.0000,0.9000,1.0000,1.0000,0.7778,1.0000,0.8182,0.955,0.9578,2.0,39,39,0.0513,0.9487,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-1-hand-pazrin-btpns-cms-mapping-wisma,1.0000,1.0000,0.6667,1.0000,0.6667,1.0000,1.0000,0.5000,1.0000,0.5000,0.8667,0.8756,6.0,42,42,0.1429,0.8571,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-1-hand-tia-btpns-cms-mapping-wisma,1.0000,1.0000,1.0000,1.0000,0.7000,1.0000,1.0000,1.0000,1.0000,0.5385,0.94,0.9468,3.0,46,46,0.0652,0.9348,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-10-browse-product,0.0000,0.5714,0.5882,0.4706,0.3600,0.0000,0.4000,0.4167,0.3077,0.2195,0.3981,0.2775,37.0,51,59,0.6271,0.3729,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-10-hand-agus-browse-product,0.0000,0.4444,0.3846,0.3077,0.2449,0.0000,0.2857,0.2381,0.1818,0.1395,0.2763,0.1886,66.0,51,87,0.7586,0.2414,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-10-hand-dimas-browse-product,0.0000,0.4444,0.3846,0.3077,0.2800,0.0000,0.2857,0.2381,0.1818,0.1628,0.2834,0.1948,67.0,51,88,0.7614,0.2386,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-10-hand-fadli-browse-product,0.0000,0.4000,0.3704,0.2963,0.2400,0.0000,0.2500,0.2273,0.1739,0.1364,0.2613,0.1802,68.0,51,92,0.7391,0.2609,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-10-hand-pazrin-browse-product,0.0000,0.4444,0.3704,0.2963,0.2400,0.0000,0.2857,0.2273,0.1739,0.1364,0.2702,0.1836,70.0,51,91,0.7692,0.2308,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-10-hand-tia-browse-product,0.0000,0.4444,0.3704,0.2963,0.2400,0.0000,0.2857,0.2273,0.1739,0.1364,0.2702,0.1836,70.0,51,91,0.7692,0.2308,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-2-btpns-update-mapping-wisma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0,1.0,0.0,78,78,0.0,1.0,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-2-hand-agus-btpns-update-mapping-wisma,1.0000,1.0000,1.0000,1.0000,0.9412,1.0000,1.0000,1.0000,1.0000,0.8889,0.9882,0.9896,1.0,78,78,0.0128,0.9872,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-2-hand-dimas-btpns-update-mapping-wisma,1.0000,0.8889,0.5143,0.9714,0.9714,1.0000,0.8000,0.3462,0.9444,0.9444,0.8692,0.888,12.0,78,82,0.1463,0.8537,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-2-hand-fadli-btpns-update-mapping-wisma,1.0000,1.0000,0.5882,1.0000,0.8824,1.0000,1.0000,0.4167,1.0000,0.7895,0.8941,0.8985,9.0,78,78,0.1154,0.8846,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-2-hand-pazrin-btpns-update-mapping-wisma,1.0000,1.0000,0.5882,1.0000,0.7647,1.0000,1.0000,0.4167,1.0000,0.6190,0.8706,0.8776,11.0,78,78,0.141,0.859,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-2-hand-tia-btpns-update-mapping-wisma,1.0000,1.0000,0.4118,1.0000,0.6471,1.0000,1.0000,0.2593,1.0000,0.4783,0.8118,0.8222,16.0,78,78,0.2051,0.7949,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-3-btpns-update-mapping-wisma-modification,0.0000,0.2222,0.1000,0.1000,0.0952,0.0000,0.1250,0.0526,0.0526,0.0500,0.1035,0.0651,59.0,40,73,0.8082,0.1918,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-3-hand-agus-btpns-update-mapping-wisma-modification,0.0000,0.2222,0.1053,0.1053,0.1000,0.0000,0.1250,0.0556,0.0556,0.0526,0.1065,0.0676,57.0,39,69,0.8261,0.1739,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-3-hand-dimas-btpns-update-mapping-wisma-modification,0.0000,0.2857,0.1429,0.1429,0.0952,0.0000,0.1667,0.0769,0.0769,0.0500,0.1333,0.0834,40.0,40,53,0.7547,0.2453,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-3-hand-fadli-btpns-update-mapping-wisma-modification,0.0000,0.2222,0.1000,0.1000,0.0952,0.0000,0.1250,0.0526,0.0526,0.0500,0.1035,0.0651,60.0,40,73,0.8219,0.1781,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-3-hand-pazrin-btpns-update-mapping-wisma-modification,0.0000,0.2222,0.1000,0.1000,0.0952,0.0000,0.1250,0.0526,0.0526,0.0500,0.1035,0.0651,61.0,40,73,0.8356,0.1644,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-3-hand-tia-btpns-update-mapping-wisma-modification,0.0000,0.2500,0.1176,0.1176,0.0930,0.0000,0.1429,0.0625,0.0625,0.0488,0.1157,0.0724,52.0,40,64,0.8125,0.1875,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-4-dss-run-ahp,1.0000,1.0000,1.0000,1.0000,0.7778,1.0000,1.0000,1.0000,1.0000,0.6364,0.9556,0.9606,2.0,41,41,0.0488,0.9512,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-4-hand-agus-dss-run-ahp,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0,1.0,0.0,41,41,0.0,1.0,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-4-hand-dimas-dss-run-ahp,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,1.0000,0.3333,1.0000,1.0000,0.9,0.9021,4.0,41,41,0.0976,0.9024,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-4-hand-fadli-dss-run-ahp,1.0000,1.0000,0.5556,1.0000,0.8889,1.0000,1.0000,0.3846,1.0000,0.8000,0.8889,0.8932,5.0,45,45,0.1111,0.8889,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-4-hand-pazrin-dss-run-ahp,1.0000,1.0000,0.8750,1.0000,0.8889,1.0000,1.0000,0.7778,1.0000,0.8000,0.9528,0.9558,2.0,41,41,0.0488,0.9512,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-4-hand-tia-dss-run-ahp,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.9778,0.9782,1.0,45,45,0.0222,0.9778,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-5-dss-setup,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0,1.0,0.0,84,84,0.0,1.0,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-5-hand-agus-dss-setup,1.0000,1.0000,1.0000,1.0000,0.9474,1.0000,1.0000,1.0000,1.0000,0.9000,0.9895,0.9907,1.0,84,84,0.0119,0.9881,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-5-hand-dimas-dss-setup,1.0000,1.0000,0.8333,1.0000,0.7222,1.0000,1.0000,0.7143,1.0000,0.5652,0.9111,0.9181,8.0,80,80,0.1,0.9,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-5-hand-fadli-dss-setup,1.0000,1.0000,0.8947,1.0000,0.7368,1.0000,1.0000,0.8095,1.0000,0.5833,0.9263,0.9327,7.0,84,84,0.0833,0.9167,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-5-hand-pazrin-dss-setup,0.0000,0.4615,0.2778,0.7222,0.1579,0.0000,0.3000,0.1613,0.5652,0.0857,0.3239,0.2016,31.0,84,77,0.369,0.631,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-5-hand-tia-dss-setup,1.0000,1.0000,0.9444,1.0000,0.9444,1.0000,1.0000,0.8947,1.0000,0.8947,0.9778,0.9793,2.0,80,80,0.025,0.975,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-6-hand-agus-hosting-personal-information,0.0000,0.5714,0.6957,0.5217,0.5385,0.0000,0.4000,0.5333,0.3529,0.3684,0.4655,0.3362,22.0,61,50,0.3607,0.6393,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-6-hand-dimas-hosting-personal-information,1.0000,1.0000,0.8333,0.8333,0.9032,1.0000,1.0000,0.7143,0.7143,0.8235,0.914,0.9308,6.0,60,61,0.0984,0.9016,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-6-hand-fadli-hosting-personal-information,1.0000,1.0000,0.7692,1.0000,0.9231,1.0000,1.0000,0.6250,1.0000,0.8571,0.9385,0.9411,4.0,61,61,0.0656,0.9344,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-6-hand-pazrin-hosting-personal-information,0.0000,0.8000,0.8462,0.8462,0.8462,0.0000,0.6667,0.7333,0.7333,0.7333,0.6677,0.4754,6.0,61,60,0.0984,0.9016,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-6-hand-tia-hosting-personal-information,1.0000,1.0000,0.9231,1.0000,0.8462,1.0000,1.0000,0.8571,1.0000,0.7333,0.9538,0.9576,3.0,61,61,0.0492,0.9508,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-6-hosting-personal-information,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0,1.0,0.0,61,61,0.0,1.0,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-7-hand-agus-hosting-personal-information-modification,0.0000,0.5556,0.4167,0.5833,0.4528,0.0000,0.3846,0.2632,0.4118,0.2927,0.4017,0.2723,49.0,119,98,0.4118,0.5882,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-7-hand-dimas-hosting-personal-information-modification,1.0000,1.0000,0.9000,0.9500,0.8846,1.0000,1.0000,0.8182,0.9048,0.7931,0.9469,0.9541,6.0,94,94,0.0638,0.9362,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-7-hand-fadli-hosting-personal-information-modification,1.0000,1.0000,1.0000,0.9474,0.9200,1.0000,1.0000,1.0000,0.9000,0.8519,0.9735,0.9797,3.0,91,91,0.033,0.967,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-7-hand-pazrin-hosting-personal-information-modification,0.0000,0.5333,0.0930,0.3721,0.1923,0.0000,0.3636,0.0488,0.2286,0.1064,0.2382,0.1364,38.0,104,94,0.3654,0.6346,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-7-hand-tia-hosting-personal-information-modification,1.0000,1.0000,0.9231,1.0000,1.0000,1.0000,1.0000,0.8571,1.0000,1.0000,0.9846,0.9849,2.0,114,114,0.0175,0.9825,0.4339,0.0767,0.1959,0.1160,0.1775
test-desktop-7-hosting-personal-information-modification,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0,1.0,0.0,119,119,0.0,1.0,0.4339,0.0767,0.1959,0.1160,0.1775
