wireframe,stack,method,method_suffix,ccr,ccr_f1,ccr_jaccard,ccr_matched,ccr_total_gt,lsr_f1,lsr_jaccard,lsr_precision,lsr_recall,lsr_matched,lsr_total_gt,ssim
test-desktop-1-btpns-cms-mapping-wisma,vue,proposed,result-s2c,0.9,0.9,0.8182,9,10,1.0,1.0,1.0,1.0,26,26,
test-desktop-1-btpns-cms-mapping-wisma,vue,sketch deep net,result-sdn,0.9,0.9,0.8182,9,10,1.0,1.0,1.0,1.0,26,26,
test-desktop-1-btpns-cms-mapping-wisma,vue,yolov11,result-yolov11,0.9,0.9,0.8182,9,10,1.0,1.0,1.0,1.0,26,26,
test-desktop-1-btpns-cms-mapping-wisma,react,proposed,result-s2c,0.9,0.9,0.8182,9,10,0.8462,0.7333,0.8462,0.8462,22,26,
test-desktop-1-btpns-cms-mapping-wisma,react,sketch deep net,result-sdn,0.9,0.9,0.8182,9,10,0.8462,0.7333,0.8462,0.8462,22,26,
test-desktop-1-btpns-cms-mapping-wisma,react,yolov11,result-yolov11,0.9,0.9,0.8182,9,10,0.8462,0.7333,0.8462,0.8462,22,26,
test-desktop-1-btpns-cms-mapping-wisma,flutter,proposed,result-s2c,0.9,0.9,0.8182,9,10,0.6809,0.5161,0.7619,0.6154,16,26,
test-desktop-1-btpns-cms-mapping-wisma,flutter,sketch deep net,result-sdn,0.9,0.9,0.8182,9,10,0.6809,0.5161,0.7619,0.6154,16,26,
test-desktop-1-btpns-cms-mapping-wisma,flutter,yolov11,result-yolov11,0.9,0.9,0.8182,9,10,0.6809,0.5161,0.7619,0.6154,16,26,
test-desktop-1-hand-agus-btpns-cms-mapping-wisma,vue,proposed,result-s2c,1.0,1.0,1.0,10,10,1.0,1.0,1.0,1.0,26,26,
test-desktop-1-hand-agus-btpns-cms-mapping-wisma,vue,sketch deep net,result-sdn,0.9,0.9,0.8182,9,10,1.0,1.0,1.0,1.0,26,26,
test-desktop-1-hand-agus-btpns-cms-mapping-wisma,vue,yolov11,result-yolov11,0.9,0.9,0.8182,9,10,1.0,1.0,1.0,1.0,26,26,
test-desktop-1-hand-agus-btpns-cms-mapping-wisma,react,proposed,result-s2c,1.0,1.0,1.0,10,10,0.8462,0.7333,0.8462,0.8462,22,26,
test-desktop-1-hand-agus-btpns-cms-mapping-wisma,react,sketch deep net,result-sdn,0.9,0.9,0.8182,9,10,0.8462,0.7333,0.8462,0.8462,22,26,
test-desktop-1-hand-agus-btpns-cms-mapping-wisma,react,yolov11,result-yolov11,0.9,0.9,0.8182,9,10,0.8462,0.7333,0.8462,0.8462,22,26,
test-desktop-1-hand-agus-btpns-cms-mapping-wisma,flutter,proposed,result-s2c,1.0,1.0,1.0,10,10,0.6809,0.5161,0.7619,0.6154,16,26,
test-desktop-1-hand-agus-btpns-cms-mapping-wisma,flutter,sketch deep net,result-sdn,0.9,0.9,0.8182,9,10,0.6809,0.5161,0.7619,0.6154,16,26,
test-desktop-1-hand-agus-btpns-cms-mapping-wisma,flutter,yolov11,result-yolov11,0.9,0.9,0.8182,9,10,0.6809,0.5161,0.7619,0.6154,16,26,
